customerID,Evasao,Genero,Idoso,customer.Partner,customer.Dependents,Meses_como_cliente,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,Faturamento_Mensal,Faturamento_Total,Contas_Diarias
0002-ORFBO,,Female,0,,,9,,,DSL,No,Yes,No,Yes,Yes,No,One year,,Mailed check,65.6,593.3,2.1866666666666665
0003-MKNFE,,Male,0,,,9,,,DSL,No,No,No,No,No,Yes,Month-to-month,,Mailed check,59.9,542.4,1.9966666666666666
0004-TLHLJ,,Male,0,,,4,,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,,Electronic check,73.9,280.85,2.4633333333333334
0011-IGKFF,,Male,1,,,13,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Electronic check,98.0,1237.85,3.2666666666666666
0013-EXCHZ,,Female,1,,,3,,,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,,Mailed check,83.9,267.4,2.796666666666667
0013-MHZWF,,Female,0,,,9,,,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,,Credit card (automatic),69.4,571.45,2.3133333333333335
0013-SMEOE,,Female,1,,,71,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),109.7,7904.25,3.6566666666666667
0014-BMAQU,,Male,0,,,63,,,Fiber optic,Yes,No,No,Yes,No,No,Two year,,Credit card (automatic),84.65,5377.8,2.8216666666666668
0015-UOCOJ,,Female,1,,,7,,,DSL,Yes,No,No,No,No,No,Month-to-month,,Electronic check,48.2,340.35,1.6066666666666667
0016-QLJIS,,Female,0,,,65,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Mailed check,90.45,5957.9,3.015
0017-DINOC,,Male,0,,,54,,,DSL,Yes,No,No,Yes,Yes,No,Two year,,Credit card (automatic),45.2,2460.55,1.5066666666666668
0017-IUDMW,,Female,0,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),116.8,8456.75,3.893333333333333
0018-NYROU,,Female,0,,,5,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,68.95,351.5,2.2983333333333333
0019-EFAEP,,Female,0,,,72,,,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,,Bank transfer (automatic),101.3,7261.25,3.3766666666666665
0019-GFNTW,,Female,0,,,56,,,DSL,Yes,Yes,Yes,Yes,No,No,Two year,,Bank transfer (automatic),45.05,2560.1,1.5016666666666665
0020-INWCK,,Female,0,,,71,,,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,,Credit card (automatic),95.75,6849.4,3.191666666666667
0020-JDNXP,,Female,0,,,34,,,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,,Mailed check,61.25,1993.2,2.0416666666666665
0021-IKXGC,,Female,1,,,1,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,72.1,72.1,2.4033333333333333
0022-TCJCI,,Male,1,,,45,,,DSL,Yes,No,Yes,No,No,Yes,One year,,Credit card (automatic),62.7,2791.5,2.0900000000000003
0023-HGHWL,,Male,1,,,1,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,25.1,25.1,0.8366666666666667
0023-UYUPN,,Female,1,,,50,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Electronic check,25.2,1306.3,0.84
0023-XUOPT,,Female,0,,,13,,,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,,Electronic check,94.1,1215.6,3.1366666666666663
0027-KWYKW,,Female,0,,,23,,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,,Electronic check,83.75,1849.95,2.7916666666666665
0030-FNXPP,,Female,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.85,57.2,0.6616666666666667
0031-PVLZI,,Female,0,,,4,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,20.35,76.35,0.6783333333333333
0032-PGELS,,Female,0,,,1,,,DSL,Yes,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-IHMOT,,Female,0,,,55,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,,Bank transfer (automatic),103.7,5656.75,3.4566666666666666
0040-HALCW,,Male,0,,,54,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),20.4,1090.6,0.6799999999999999
